RunAuth,Type,Ind,Ass,Year,Month,Day,Hour,Minute,Second,STCode,STCorr,LongitudeE,LatitudeS,Depth,ZCode,Mx,Mval,HDPlace
ADE,local,1,Preferred,1969,1,19,18,9,19.76,ACST,9.5,138.492,33.051,7.5, ,ML,2.8,SW of Tarcowie; SA
CAN,local,1,Preferred,1969,1,19,21,0,0.4,AEST,10,150.18,36.48,31, ,ML,2.5,Off Bermagui; NSW
MGO,local,0,Preferred,1969,1,20,2,27,0.7,AWST,8,117.1,31.9,0,,ML,2.9,Meckering; WA
CAN,local,1,Preferred,1969,1,20,16,43,23.1,AEST,10,147.1,36.9,7, ,ML,3.3,Mt Hotham; Vic
MGO,local,1,Preferred,1969,1,20,23,30,51.1,AWST,8,117.23,32.13,7,G,ML,3.7,Dangin; WA
MGO,local,1,Preferred,1969,1,22,9,16,51.4,AWST,8,117.15,32.2,7,G,ML,3,25 km SE of Beverley; WA
CAN,local,1,Preferred,1969,1,23,21,37,33.1,AEST,10,148.72,34.02,0,G,ML,2.8,Breakfast Creek; NSW
ADE,local,1,Preferred,1969,1,24,14,44,5.98,ACST,9.5,135.392,35.681,24.1, ,ML,3.4,W of Kangaroo Island; SA
ADE,local,0,Preferred,1969,1,25,7,10,3.1,ACST,9.5,140.687,32.268,0, ,ML,3,Radium Hill; SA
ADE,local,2,Preferred,1969,1,26,16,48,20.65,ACST,9.5,140.887,32.271,16.3, ,ML,3.3,Radium Hill; SA
MGO,local,0,Preferred,1969,1,29,14,32,54.8,AWST,8,117.18,32.03,7,G,ML,3,Meckering; WA
ADE,local,1,Preferred,1969,1,29,15,3,24.42,ACST,9.5,139.115,31.797,20.3, ,ML,4.1,E of Holowilena HS; SA
MGO,local,0,Preferred,1969,1,29,16,0,45.8,AWST,8,116.81,31.85,7,G,ML,3,Meckering; WA
MGO,local,0,Preferred,1969,1,30,6,15,43,AWST,8,117.15,31.96,7,G,ML,3.7,Meckering; WA
MGO,local,0,Preferred,1969,1,30,6,16,31.5,AWST,8,117.3,32.2,7,G,ML,3,Dangin; WA
ADE,local,1,Preferred,1969,1,31,9,46,15.99,ACST,9.5,138.04,32.551,2.1, ,ML,3.3,Horrocks Pass; SA
MGO,local,0,Preferred,1969,1,31,9,47,44.5,AWST,8,117.28,32.17,7,G,ML,3.3,Meckering; WA
MGO,local,0,Preferred,1969,2,1,2,39,35.6,AWST,8,117.15,31.96,7,G,ML,3.5,Balkuling; WA
MGO,local,0,Preferred,1969,2,1,3,29,57.7,AWST,8,117.15,31.96,7,G,ML,4,Balkuling; WA
MGO,local,0,Preferred,1969,2,1,3,33,,AWST,8,117.16,31.98,, ,ML,2.8,Balkuling; WA
MGO,local,0,Preferred,1969,2,1,3,59,,AWST,8,117.16,31.98,, ,ML,2.7,Balkuling; WA
MGO,local,0,Preferred,1969,2,1,4,52,2.5,AWST,8,117.15,31.96,7,G,ML,3.7,Balkuling; WA
MGO,local,0,Preferred,1969,2,1,4,54,53.6,AWST,8,117.15,31.96,7,G,ML,3.8,Balkuling; WA
MGO,local,0,Preferred,1969,2,1,7,22,11.7,AWST,8,117.15,31.96,7,G,ML,3.6,Mawson; WA
MGO,local,0,Preferred,1969,2,1,7,34,,AWST,8,117.15,31.98,, ,ML,2.5,Mawson; WA
MGO,local,0,Preferred,1969,2,1,7,35,22.3,AWST,8,117.15,31.96,7,G,ML,3,Mawson; WA
MGO,local,0,Preferred,1969,2,1,8,51,29.3,AWST,8,117.15,31.96,7,G,ML,3.3,Mawson; WA
MGO,local,0,Preferred,1969,2,1,9,9,,AWST,8,117.15,31.98,, ,ML,2.8,Mawson; WA
MGO,local,0,Preferred,1969,2,1,16,54,33.3,AWST,8,116.93,32.53,7,G,ML,3,15 km W of Pingelly; WA
MGO,local,0,Preferred,1969,2,1,20,25,57.1,AWST,8,117.15,32.01,7,G,ML,3.2,Dulbelling; WA
MGO,local,0,Preferred,1969,2,1,21,54,,AWST,8,116.94,32.49,, ,ML,2.7,NW of Pingelly; WA
MGO,local,0,Preferred,1969,2,1,21,57,,AWST,8,116.88,32.54,, ,ML,2.6,W of Pingelly; WA
MGO,local,0,Preferred,1969,2,1,22,6,,AWST,8,116.88,32.54,, ,ML,2.5,Pingelly; WA
MGO,local,0,Preferred,1969,2,1,23,12,18.8,AWST,8,117.1,31.88,7,G,ML,3,Balkuling; WA
MGO,local,0,Preferred,1969,2,1,23,51,52.5,AWST,8,116.87,32.59,7,G,ML,3,21 km W of Pingelly; WA
MGO,local,0,Preferred,1969,2,1,23,55,,AWST,8,116.88,32.54,, ,ML,2.7,Pingelly; WA
MGO,local,2,Preferred,1969,2,2,3,3,30.8,AWST,8,117.12,32.05,7,G,ML,3.4,Dulbelling; WA
MGO,local,0,Preferred,1969,2,3,8,59,,AWST,8,116.93,31.76,, ,ML,2.9,Meckering; WA
MGO,local,0,Preferred,1969,2,4,5,41,,AWST,8,117.15,31.98,, ,ML,2.6,Mawson; WA
MGO,local,0,Preferred,1969,2,11,18,35,,AWST,8,116.88,32.54,, ,ML,2.8,W of Pingelly; WA
CAN,local,2,Preferred,1969,2,14,15,52,5.4,AEST,10,149.11,34.16,3, ,ML,3.3,Blanket Flat; NSW
MGO,local,0,Preferred,1969,2,15,12,14,31.1,AWST,8,117.1,31.75,7,G,ML,3.2,17 km SE of Meckering; WA
ADE,local,1,Preferred,1969,2,17,9,5,38.26,ACST,9.5,132.195,33.485,3.4, ,ML,3.8,Great Australian Bight; SA
CAN,local,1,Preferred,1969,2,26,8,37,41,AEST,10,148.24,33.49,5, ,ML,2.8,SE of Forbes; NSW
ISC,local,1,Preferred,1969,2,27,22,33,23.8,AWST,8,121.6,12.2,33,N,mb,4.7,Ashmore Islands; WA
MGO,local,2,Preferred,1969,3,3,21,43,,AWST,8,117.26,32.05,, ,ML,2.8,Dulbelling; WA
ADE,local,1,Preferred,1969,3,4,4,19,27.4,ACST,9.5,138.962,30.728,2, ,ML,3.4,Nepabunna; SA
MGO,local,0,Preferred,1969,3,7,14,32,,AWST,8,117.27,32.06,, ,ML,2.6,Dulbelling; WA
MGO,local,0,Preferred,1969,3,7,22,3,,AWST,8,117.27,32.06,, ,ML,2.7,Dulbelling; WA
TAU,local,1,Preferred,1969,3,10,18,49,26,AEST,10,145.72,43.3,10,N,ML,2.5,Off Port Davey; Tas
MGO,local,1,Preferred,1969,3,11,12,0,41.3,AWST,8,116.57,30.64,7,G,ML,3.5,Ballidu; WA
ADE,local,1,Preferred,1969,3,13,7,54,20.01,ACST,9.5,138.466,32.102,0, ,ML,3,Cradock; SA
TAU,local,1,Preferred,1969,3,13,11,28,12,AEST,10,144.75,41.315,10,N,ML,3.5,S of Temma; Tas
CAN,local,1,Preferred,1969,3,15,6,55,57,AEST,10,151.21,31.93,0,G,ML,2.8,NE of Muswellbrook; NSW
MGO,local,0,Preferred,1969,3,15,9,24,33.4,AWST,8,117.03,31.61,7,G,ML,3.3,Meckering; WA
MGO,local,0,Preferred,1969,3,16,13,11,,AWST,8,117.26,32.05,, ,ML,2.6,Dulbelling; WA
MGO,local,0,Preferred,1969,3,18,5,41,28.9,AWST,8,116.88,31.77,7,G,ML,3.6,Meckering; WA
CAN,local,1,Preferred,1969,3,19,16,23,13.1,AEST,10,148.27,34.64,5, ,ML,2.8,Murrumburrah; NSW
MGO,local,1,Preferred,1969,3,20,1,0,,AWST,8,117.32,32.06,, ,ML,2.7,Dangin; WA
MGO,local,1,Preferred,1969,3,20,18,3,,AWST,8,117.28,32.06,, ,ML,2.5,Dangin; WA
MGO,local,1,Preferred,1969,3,20,19,41,,AWST,8,117.3,32.06,, ,ML,2.9,Dangin; WA
MGO,local,1,Preferred,1969,3,21,19,50,50,AWST,8,117.25,32.15,7,G,ML,3,Dangin; WA
MGO,local,1,Preferred,1969,3,25,13,56,17.7,AWST,8,116.38,31.14,7,G,ML,3.5,Calingiri; WA
MGO,local,0,Preferred,1969,3,25,15,19,16.9,AWST,8,116.36,31.13,7,G,ML,3.4,Calingiri; WA
MGO,local,1,Preferred,1969,3,26,19,33,32.8,AWST,8,117.15,32.35,7,G,ML,2.9,15 km E of Brookton; WA
MGO,local,1,Preferred,1969,3,28,3,33,9.4,AWST,8,116.2,25.4,7,G,ML,3.3,Mt Gascoyne; WA
MGO,local,1,Preferred,1969,3,28,4,18,,AWST,8,117.15,31.98,, ,ML,2.6,Mawson; WA
MGO,local,1,Preferred,1969,3,29,0,37,,AWST,8,116.95,31.85,, ,ML,2.6,Greenhills; WA
MGO,local,1,Preferred,1969,4,2,22,12,57.7,AWST,8,117,32.4,7,G,ML,3.2,S of Brookton; WA
CAN,local,1,Preferred,1969,4,8,5,53,7,AEST,10,148.4,38.17,0,G,ML,3,Off Lakes Entrance; Vic
CAN,local,2,Preferred,1969,4,9,2,10,5,AEST,10,149.58,32.05,5, ,ML,4,Leadville; NSW
CAN,local,0,Preferred,1969,4,9,3,37,,AEST,10,149.55,32.08,0,G,ML,2.8,Leadville; NSW
CAN,local,1,Preferred,1969,4,11,0,14,31.6,AEST,10,147.52,36.89,0,G,ML,3.3,Glen Wills; Vic
ADE,local,2,Preferred,1969,4,17,6,0,14.65,ACST,9.5,135.649,34.04,0, ,ML,2.5,Karkoo; SA
MGO,local,0,Preferred,1969,4,20,10,25,,AWST,8,116.94,31.66,, ,ML,2.7,Meckering; WA
CAN,local,1,Preferred,1969,4,23,3,44,28,AEST,10,148.63,34.15,0,G,ML,2.5,Breakfast Creek; NSW
MGO,local,0,Preferred,1969,4,27,0,3,,AWST,8,116.92,31.77,, ,ML,2.5,Meckering; WA
MGO,local,0,Preferred,1969,4,27,0,7,,AWST,8,116.92,31.77,, ,ML,2.5,Meckering; WA
MGO,local,0,Preferred,1969,4,27,17,55,,AWST,8,117.01,31.65,, ,ML,2.7,Meckering; WA
CAN,local,1,Preferred,1969,5,3,8,35,33,AEST,10,147.83,37.2,0,G,ML,2.5,Tongio; Vic
ISC,local,1,Preferred,1969,5,5,14,15,17,AEST,10,141.45,44.29,24,,mb,5.2,WSW of South West Cape; Tas; Southern Ocean
MGO,local,1,Preferred,1969,5,9,11,20,28.5,AWST,8,117.3,32,7,G,ML,3.5,Quairading; WA
CAN,local,1,Preferred,1969,5,12,22,1,0,AEST,10,149.29,34.57,3, ,ML,2.5,Dalton; NSW
CAN,local,1,Preferred,1969,5,14,4,31,43.8,AEST,10,149.26,34.53,6, ,ML,2.5,Dalton; NSW
MGO,local,1,Preferred,1969,5,16,4,22,47.9,AWST,8,117.2,30.9,7,G,ML,3.7,Manmanning; WA
ADE,local,1,Preferred,1969,5,17,11,59,33.58,ACST,9.5,138.088,32.332,0, ,ML,2.8,E of Quorn; SA
MGO,local,1,Preferred,1969,5,19,15,29,,AWST,8,117.26,30.93,, ,ML,2.7,Manmanning; WA
CAN,local,1,Preferred,1969,5,21,21,11,2.8,AEST,10,151.85,33.22,2, ,ML,3.3,Off Newcastle; NSW
ADE,local,1,Preferred,1969,6,1,17,34,49.8,ACST,9.5,137.439,29.618,0, ,ML,3,S of Lake Eyre South; SA
CAN,local,1,Preferred,1969,6,3,16,48,41.9,AEST,10,149.21,33.76,7, ,ML,2.8,N of Wyangala Dam; NSW
MGO,local,1,Preferred,1969,6,9,17,57,,AWST,8,117.01,30.66,, ,ML,2.6,NW of Cadoux; WA
MGO,local,1,Preferred,1969,6,10,0,49,,AWST,8,117.2,31.55,, ,ML,2.5,Cunderdin; WA
BMR,local,1,Preferred,1969,6,17,19,54,32.7,AWST,8,116.73,25.26,0,G,ML,5.6,Mt Gascoyne; WA
MGO,local,1,Preferred,1969,6,19,21,1,7.5,AWST,8,114.7,23.3,7,G,mb,4.2,NE of Minilya; WA
BMR,local,2,Preferred,1969,6,20,11,15,28.3,AEST,10,146.3,38.47,19, ,ML,5.3,Boolarra; Vic
CAN,local,0,Preferred,1969,6,20,11,34,52.9,AEST,10,146.35,38.36,9, ,ML,3.3,Boolarra; Vic
CAN,local,0,Preferred,1969,6,20,11,44,3.7,AEST,10,146.34,38.37,0,G,ML,3.3,Boolarra; Vic
CAN,local,0,Preferred,1969,6,20,12,14,57,AEST,10,146.28,38.38,0,G,ML,3,Boolarra; Vic
CAN,local,0,Preferred,1969,6,20,12,47,18,AEST,10,146.2,38.5,0,G,ML,3,Boolarra; Vic
CAN,local,0,Preferred,1969,6,20,13,13,11,AEST,10,146.28,38.47,0,G,ML,2.7,Boolarra; Vic
CAN,local,0,Preferred,1969,6,20,22,18,16.9,AEST,10,146.34,38.37,1, ,ML,3.3,Boolarra; Vic
MGO,local,0,Preferred,1969,6,22,6,27,,AWST,8,117.05,31.6,, ,ML,2.7,Meckering; WA
CAN,local,0,Preferred,1969,6,22,16,29,13.3,AEST,10,146.34,38.54,0,G,ML,5,Boolarra; Vic
CAN,local,0,Preferred,1969,6,22,16,37,43.5,AEST,10,146.27,38.41,0,G,ML,4,Boolarra; Vic
CAN,local,0,Preferred,1969,6,23,4,5,15,AEST,10,146.37,38.42,0,G,ML,3,Boolarra; Vic
MGO,local,1,Preferred,1969,6,23,14,14,44.4,AWST,8,123.1,17.6,7,G,mb,4.9,W of Derby; WA
MGO,local,1,Preferred,1969,6,23,21,44,,AWST,8,116.91,30.82,, ,ML,2.8,Cadoux; WA
MGO,local,1,Preferred,1969,6,24,23,4,,AWST,8,116.84,31.58,, ,ML,2.7,Northam; WA
MGO,local,1,Preferred,1969,6,26,0,37,,AWST,8,117.29,30.86,, ,ML,2.9,Cadoux; WA
MGO,local,1,Preferred,1969,6,26,0,38,9.2,AWST,8,117.18,30.76,7,G,ML,3.4,Cadoux; WA
MGO,local,1,Preferred,1969,6,26,6,45,,AWST,8,117.29,30.86,, ,ML,2.6,Cadoux; WA
MGO,local,0,Preferred,1969,6,28,20,57,,AWST,8,116.99,31.57,, ,ML,2.6,Meckering; WA
MGO,local,0,Preferred,1969,6,30,17,38,35.9,AWST,8,120.1,18,7,G,mb,4.9,W of Broome; WA
MGO,local,0,Preferred,1969,7,1,0,19,11.3,AWST,8,117,31.6,7,G,ML,3.1,3 km N of Meckering; WA
CAN,local,1,Preferred,1969,7,1,20,10,47,AEST,10,145.47,36.17,0,G,ML,3.5,Numurkah; Vic
CAN,local,1,Preferred,1969,7,2,1,21,16.8,AEST,10,151.35,34.61,5, ,ML,3.3,Off Wollongong; NSW
ADE,local,1,Preferred,1969,7,3,21,40,6.05,ACST,9.5,138.556,30.9,0, ,ML,2.8,Beltana; SA
CAN,local,0,Preferred,1969,7,10,19,2,46.7,AEST,10,146.39,38.34,9, ,ML,2.8,Boolarra; Vic
CAN,local,2,Preferred,1969,7,11,6,21,11,AEST,10,144.1,36.83,0,G,ML,4,SW of Bendigo; Vic
CAN,local,0,Preferred,1969,7,11,8,1,47,AEST,10,143.95,36.917,0,G,ML,3.5,SW of Bendigo; Vic
CAN,local,0,Preferred,1969,7,12,13,8,3,AEST,10,146.3,38.56,0,G,ML,3.3,Boolarra; Vic
CAN,local,1,Preferred,1969,7,16,19,12,20,AEST,10,149.14,34.13,4, ,ML,2.5,Blanket Flat; NSW
MGO,local,1,Preferred,1969,7,17,13,35,,AWST,8,117.14,30.94,, ,ML,2.6,Manmanning; WA
ADE,local,1,Preferred,1969,7,21,11,35,19.9,ACST,9.5,139.183,34.986,0, ,ML,2.5,Murray Bridge; SA
CAN,local,1,Preferred,1969,7,25,0,32,8,AEST,10,151.15,36.78,0,G,ML,2.8,Off Bega; NSW
MGO,local,1,Preferred,1969,7,27,8,37,,AWST,8,117.01,30.82,, ,ML,2.9,Cadoux; WA
MGO,local,0,Preferred,1969,7,27,9,17,3.1,AWST,8,117.1,30.86,7,G,ML,3,2 km E of Moonijin; WA
MGO,local,2,Preferred,1969,7,27,9,20,47.3,AWST,8,117.1,30.95,7,G,ML,4.2,4 km E of Moonijin; WA
MGO,local,0,Preferred,1969,7,27,12,46,,AWST,8,117.23,30.92,, ,ML,2.9,Moonijin; WA
MGO,local,0,Preferred,1969,7,27,12,54,,AWST,8,117.22,30.97,, ,ML,2.9,Moonijin; WA
CAN,local,1,Preferred,1969,7,28,1,47,8,AEST,10,147.71,37.98,0,G,ML,3.3,Lake Victoria; Vic
CAN,local,1,Preferred,1969,7,28,6,23,54.1,AEST,10,149.17,34.14,0,G,ML,2.8,Bigga; NSW
ADE,local,1,Preferred,1969,7,29,14,7,43.76,ACST,9.5,136.031,34.364,11.6, ,ML,2.8,Tumby Bay; SA
MGO,local,1,Preferred,1969,7,30,2,33,,AWST,8,117.04,31.61,, ,ML,2.6,Meckering; WA
BMR,local,1,Preferred,1969,8,1,8,48,28,AWST,8,116.41,31.15,0,R,ML,2.8,Bolgart; WA
CAN,local,0,Preferred,1969,8,5,2,48,41,AEST,10,151.63,34.22,0,G,ML,2.8,Off Botany Bay; NSW
CAN,local,2,Preferred,1969,8,5,3,9,22.6,AEST,10,151.18,34.22,15, ,ML,3,Off Stanwell Park; NSW
MGO,local,1,Preferred,1969,8,8,12,9,23,AWST,8,111.1,25.5,7,G,mb,4.3,Off Steep Point; WA
ADE,local,1,Preferred,1969,8,10,10,10,2.01,ACST,9.5,138.489,32.517,0, ,ML,2.5,Carrieton; SA
MGO,local,1,Preferred,1969,8,11,8,55,30,AWST,8,115.7,24.9,7,G,mb,4,E of Gascoyne Junction; WA
MGO,local,1,Preferred,1969,8,14,6,13,52,AWST,8,116.57,31.2,7,G,ML,2.6,12 km NNE of Bolgart; WA
MGO,local,1,Preferred,1969,8,17,17,55,29,AWST,8,116,25.1,7,G,mb,4.2,E of Gascoyne Junction; WA
MGO,local,1,Preferred,1969,8,21,23,57,4,AWST,8,117.16,30.75,0,G,ML,3.2,Cadoux; WA
MGO,local,1,Preferred,1969,8,22,2,43,,AWST,8,116.92,31.76,, ,ML,2.9,Meckering; WA
TAU,local,1,Preferred,1969,8,26,10,28,8,AEST,10,145.485,42.979,10,N,ML,2.6,Low Rocky Point; Tas
CAN,local,1,Preferred,1969,9,4,2,1,40,AEST,10,151.93,34.43,0,G,ML,2.5,Off Sydney; NSW
ADE,local,1,Preferred,1969,9,4,21,2,4.96,ACST,9.5,138.199,32.721,8.8, ,ML,2.6,Wilmington; SA
ADE,local,1,Preferred,1969,9,6,10,22,10.3,ACST,9.5,135.894,34.033,0, ,ML,2.5,Karkoo; SA
MGO,local,1,Preferred,1969,9,7,1,16,23,AWST,8,116.83,31.69,7,G,ML,3.1,Quellington; WA
ADE,local,1,Preferred,1969,9,7,7,6,20.57,ACST,9.5,138.583,33.192,9.7, ,ML,3,Jamestown; SA
MGO,local,1,Preferred,1969,9,14,22,58,48,AWST,8,123.1,17.9,7,G,mb,4.8,SW of Derby; WA
CAN,local,1,Preferred,1969,9,19,2,16,56,AEST,10,151.42,34.25,0,G,ML,2.8,Off Botany Bay; NSW
CAN,local,1,Preferred,1969,9,20,6,11,53.9,AEST,10,150.61,34.66,0,G,ML,2.8,Robertson; NSW
MGO,local,1,Preferred,1969,9,24,23,39,7,AWST,8,118.2,21.7,7,G,mb,5.1,N of Wittenoom; WA
CAN,local,1,Preferred,1969,9,25,5,46,0,AEST,10,149.133,34.733,0, ,ML,2.5,Dalton; NSW
CAN,local,1,Preferred,1969,9,26,14,26,56.8,AEST,10,148.37,33.83,6, ,ML,2.5,W of Cowra; NSW
ADE,local,2,Preferred,1969,9,26,21,51,19.46,ACST,9.5,138.19,32.792,32, ,ML,2.6,Melrose; SA
MGO,local,1,Preferred,1969,10,3,12,24,34,AWST,8,117.75,30.05,, ,ML,2.7,N of Beacon; WA
CAN,local,1,Preferred,1969,10,5,5,44,54.2,AEST,10,144.73,35.75,4, ,ML,3.5,Mathoura; NSW
MGO,local,1,Preferred,1969,10,5,12,15,50.3,AWST,8,116.9,31.72,3,G,ML,3,Meckering; WA
MGO,local,1,Preferred,1969,10,8,20,26,56.6,AWST,8,116.9,31.8,7,G,ML,3.4,Quellington; WA
MGO,local,1,Preferred,1969,10,8,23,59,,AWST,8,116.9,31.79,, ,ML,2.8,Meckering; WA
MGO,local,1,Preferred,1969,10,9,0,59,,AWST,8,116.9,31.79,, ,ML,2.7,Meckering; WA
BMR,local,1,Preferred,1969,10,9,1,29,9.3,AWST,8,117.46,18.82,0,G,mb,5,Off Port Hedland; WA
ADE,local,0,Preferred,1969,10,9,7,9,58.85,ACST,9.5,139.788,31.865,23.5, ,ML,2.8,SE of Curnamona HS; SA
ADE,local,2,Preferred,1969,10,9,8,45,18.4,ACST,9.5,139.608,31.757,10, ,ML,3.7,SE of Curnamona HS; SA
ADE,local,0,Preferred,1969,10,9,8,57,51.67,ACST,9.5,139.485,31.774,0, ,ML,3.2,S of Curnamona HS; SA
MGO,local,1,Preferred,1969,10,11,16,40,46.6,AWST,8,116.94,31.65,0,G,ML,3,6 km SW of Meckering; WA
MGO,local,1,Preferred,1969,10,12,4,16,,AWST,8,116.89,31.76,, ,ML,2.7,Meckering; WA
MGO,local,1,Preferred,1969,10,14,8,3,,AWST,8,116.91,31.81,, ,ML,2.7,Meckering; WA
CAN,local,1,Preferred,1969,10,15,15,51,52.3,AEST,10,149.23,34.56,5, ,ML,2.8,Dalton; NSW
MGO,local,1,Preferred,1969,10,16,9,24,,AWST,8,116.88,31.75,0,,ML,2.5,Meckering; WA
CAN,local,1,Preferred,1969,10,17,18,4,30,AEST,10,146.33,38.43,0,G,ML,3.5,Boolarra; Vic
CAN,local,1,Preferred,1969,10,18,4,59,33.7,AEST,10,150.49,34.57,5, ,ML,2.8,Robertson; NSW
ADE,local,1,Preferred,1969,10,19,1,47,24.63,ACST,9.5,136.58,33.644,0, ,ML,2.9,Cleve; SA
MGO,local,1,Preferred,1969,10,22,20,17,,AWST,8,117.11,30.86,, ,ML,2.9,Manmanning; WA
MGO,local,1,Preferred,1969,10,22,20,26,,AWST,8,117.11,30.86,, ,ML,2.8,Manmanning; WA
MGO,local,1,Preferred,1969,10,23,12,5,16.7,AWST,8,117.13,30.88,7,G,ML,2.7,6 km SE of Manmanning; WA
MGO,local,1,Preferred,1969,10,23,12,13,,AWST,8,117.16,30.88,, ,ML,2.8,Manmanning; WA
BMR,local,2,Preferred,1969,10,27,11,39,28.5,ACST,9.5,131.32,22.8,0,G,mb,4.5,W of Central Mt Wedge; NT
BMR,local,0,Preferred,1969,10,27,12,22,13.2,ACST,9.5,131.33,22.7,0,G,mb,4.5,W of Central Mt Wedge; NT
MGO,local,1,Preferred,1969,11,1,5,53,,AWST,8,117.09,30.84,, ,ML,2.7,Manmanning; WA
ISC,local,0,Preferred,1969,11,3,7,33,43.2,UTC,0,123.05,45.68,33,N,mb,4.5,Southern Ocean
ADE,local,0,Preferred,1969,11,4,16,34,33.74,ACST,9.5,139.741,31.908,3.1, ,ML,2.5,SE of Curnamona HS; SA
MGO,local,1,Preferred,1969,11,5,7,6,39.8,AWST,8,116.5,31.26,15, ,ML,2.8,Bolgart; WA
ADE,local,1,Preferred,1969,11,7,17,33,43.2,ACST,9.5,139.198,34.496,0, ,ML,2.5,Sedan; SA
MGO,local,1,Preferred,1969,11,8,8,46,,AWST,8,117.21,30.9,, ,ML,2.5,Manmanning; WA
MGO,local,0,Preferred,1969,11,13,1,35,16.4,AWST,8,116.93,32.53,0,G,ML,3,10 km W of Pingelly; WA
MGO,local,0,Preferred,1969,11,14,1,36,19,AWST,8,116.9,32.5,0,G,ML,2.9,10 km W of Pingelly; WA
MGO,local,0,Preferred,1969,11,14,8,42,,AWST,8,116.88,32.54,, ,ML,2.6,Pingelly; WA
ADE,local,1,Preferred,1969,11,15,0,14,30.44,ACST,9.5,139.845,37.123,8.8, ,ML,3,Robe; SA
MGO,local,0,Preferred,1969,11,20,5,23,25.4,AWST,8,116.93,32.53,0,G,ML,3,10 km W of Pingelly; WA
MGO,local,0,Preferred,1969,11,20,19,54,16.9,AWST,8,116.93,32.53,0,G,ML,3.1,10 km W of Pingelly; WA
MGO,local,0,Preferred,1969,11,20,19,54,23.5,AWST,8,116.93,32.53,0,G,ML,3.4,10 km W of Pingelly; WA
MGO,local,2,Preferred,1969,11,22,15,5,33.2,AWST,8,116.93,32.53,0,G,ML,3.6,10 km W of Pingelly; WA
MGO,local,0,Preferred,1969,11,22,15,7,58,AWST,8,116.9,32.6,0,G,ML,2.7,18 km SW of Pingelly; WA
MGO,local,0,Preferred,1969,11,22,16,2,16.3,AWST,8,116.93,32.53,0,G,ML,2.7,18 km SW of Pingelly; WA
MGO,local,0,Preferred,1969,11,23,7,20,25.2,AWST,8,116.93,32.53,0,G,ML,3.1,18 km SW of Pingelly; WA
MGO,local,0,Preferred,1969,11,23,10,50,54.7,AWST,8,116.87,32.59,0,G,ML,2.6,18 km SW of Pingelly; WA
MGO,local,0,Preferred,1969,11,24,20,36,26.6,AWST,8,116.87,32.59,0,G,ML,2.9,18 km SW of Pingelly; WA
MGO,local,1,Preferred,1969,11,25,16,24,,AWST,8,117.03,31.64,, ,ML,2.5,Meckering; WA
MGO,local,0,Preferred,1969,11,26,13,43,,AWST,8,117,32.48,, ,ML,2.5,Brookton; WA
MGO,local,1,Preferred,1969,11,26,22,57,,AWST,8,117.07,31.77,, ,ML,2.8,S of Meckering; WA
ADE,local,1,Preferred,1969,11,28,3,37,14.67,ACST,9.5,139.353,31.72,0, ,ML,2.5,SW of Curnamona HS; SA
ADE,local,1,Preferred,1969,11,30,9,2,41.08,ACST,9.5,139.347,32.765,2.3, ,ML,2.5,SW of Yunta; SA
MGO,local,1,Preferred,1969,12,3,8,13,,AWST,8,117.08,31.62,, ,ML,2.7,Meckering; WA
CAN,local,1,Preferred,1969,12,8,12,39,0,AEST,10,149.68,32.63,0,G,ML,2.5,Mudgee; NSW
MGO,local,1,Preferred,1969,12,28,22,55,,AWST,8,117.08,31.64,, ,ML,2.8,Meckering; WA
MGO,local,0,Preferred,1969,12,31,10,5,25.4,AWST,8,116.93,32.53,0,G,ML,3.3,18 km SW of Pingelly; WA
MGO,local,1,Preferred,1970,1,7,3,39,35.8,AWST,8,116.82,31.62,7,G,ML,3.2,Meckering; WA
CAN,local,1,Preferred,1970,1,11,14,6,58,AEST,10,147.85,34.75,0,G,ML,2.8,SW of Cootmundra; NSW
MGO,local,1,Preferred,1970,1,12,23,56,4.5,AWST,8,115.03,23.03,, ,ML,3.4,Barlee Range; WA
CAN,local,0,Preferred,1970,1,14,5,2,37,AEST,10,148.1,34.83,0,G,ML,2.5,S of Cootamundra; NSW
MGO,local,1,Preferred,1970,1,19,4,23,8,AWST,8,116.94,31.37,0,,ML,2.8,15 km E of Goomalling; WA
CAN,local,1,Preferred,1970,1,21,11,24,45.4,AEST,10,148.15,37.72,4, ,ML,3,W of Orbost; Vic
CAN,local,1,Preferred,1970,1,24,4,18,58.9,AEST,10,146.29,38.34,3, ,ML,3.3,Boolarra; Vic
CAN,local,1,Preferred,1970,1,27,4,11,56,AEST,10,150.5,36.18,6, ,ML,2.8,Off Narooma; NSW
MGO,local,1,Preferred,1970,1,30,18,11,1,AWST,8,116.77,31.1,, ,ML,2.6,5 km SW of Konongorring; WA
MGO,local,1,Preferred,1970,2,1,18,40,56.1,AWST,8,118.5,20.3,7,G,mb,5.1,Port Hedland; WA
MGO,local,1,Preferred,1970,2,1,22,14,28,AWST,8,116.9,32.6,, ,ML,2.6,Dattening; WA
ISC,local,1,Preferred,1970,2,8,16,31,24.4,AWST,8,125.08,27.4,1,G,mb,5.1,NE of Yeo Lake; Western Australia
MGO,local,1,Preferred,1970,2,9,20,33,48,AWST,8,116.97,31.61,, ,ML,2.5,Meckering; WA
CAN,local,1,Preferred,1970,2,15,15,9,45,AEST,10,150.07,36.18,0,G,ML,2.5,Narooma; NSW
BMR,local,1,Preferred,1970,2,16,21,20,21,AWST,8,111.65,20.07,0,G,mb,5.5,Off North West Cape; WA
