time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-05-21T08:46:18.000Z,-25.601,129.837,0,4.4,mb,,,,1.15,us,us10005j44,2016-08-03T22:33:40.040Z,"Northern Territory, Australia",earthquake,6.5,1.9,0.155,12,reviewed,aust,us
2016-05-21T07:12:31.000Z,-25.532,129.838,0,4.2,mb,,,,1.05,us,us10005j3t,2016-08-03T22:33:40.040Z,"Northern Territory, Australia",earthquake,8.1,1.9,0.187,8,reviewed,aust,us
2016-05-20T19:06:09.000Z,-25.574,129.812,0,4.2,mb,,,,2.12,us,us20005y4t,2016-08-03T22:33:39.040Z,"Northern Territory, Australia",earthquake,8.2,5.4,0.2,7,reviewed,aust,us
2016-05-20T18:14:04.670Z,-25.5655,129.8841,10,6.2,mb,,24,1.53,1.33,us,us10005iyk,2017-10-11T21:29:07.729Z,"Northern Territory, Australia",earthquake,2.2,1.7,,,reviewed,us,us
2016-05-16T20:13:20.000Z,-22.904,128.602,10,4.2,mb,,,,1.44,us,us10005hsh,2016-07-22T19:39:09.040Z,"Western Australia",earthquake,4.9,5.5,0.235,5,reviewed,aust,us
2016-05-16T03:33:57.510Z,-10.5719,113.1893,11.67,4.1,mb,,84,2.294,1.08,us,us10005jkc,2016-07-22T19:39:08.040Z,"239km SSW of Sarongan, Indonesia",earthquake,8.4,5.6,0.145,13,reviewed,us,us
2016-05-12T18:23:51.530Z,-11.2179,117.0314,10,4.9,mb,,42,3.937,1.02,us,us10005gva,2016-07-20T18:10:54.040Z,"261km S of Besisora, Indonesia",earthquake,6.5,1.6,0.074,57,reviewed,us,us
2016-05-10T09:44:38.250Z,-16.3853,118.8669,10,5,mb,,83,4.818,0.81,us,us10005g9r,2016-07-20T18:10:51.040Z,"Northwest of Australia",earthquake,7.7,1.8,0.081,48,reviewed,us,us
2016-05-04T22:17:54.920Z,-10.4346,123.989,10,4.4,mb,,150,0.392,0.52,us,us10005gt3,2016-07-19T20:03:13.040Z,"53km SE of Kupang, Indonesia",earthquake,7.8,1.7,0.179,9,reviewed,us,us
2016-05-02T19:08:46.950Z,-10.5554,152.3694,10,4.1,mb,,98,5.257,0.72,us,us10005gin,2016-07-19T20:03:10.040Z,"170km SSW of Kulumadau, Papua New Guinea",earthquake,5.2,1.9,0.145,13,reviewed,us,us
2016-05-02T07:13:48.790Z,-10.8578,112.0594,10,4.1,mb,,103,3.144,1.24,us,us10005ghw,2016-07-19T20:03:09.040Z,"280km SSW of Krajan Tambakrejo, Indonesia",earthquake,8.7,2,0.165,10,reviewed,us,us
2016-04-28T16:52:44.000Z,-19.77,133.888,10,4.4,mb,,,,1.92,us,us10005c6s,2016-07-08T02:49:27.040Z,"35km WSW of Tennant Creek, Australia",earthquake,4.4,4.8,0.126,19,reviewed,aust,us
2016-04-22T18:28:10.870Z,-11.8559,124.367,46.13,4.1,mb,,82,1.778,1.35,us,us20005kyb,2016-07-08T02:49:18.040Z,"205km SSE of Kupang, Indonesia",earthquake,6.9,6.7,0.14,15,reviewed,us,us
2016-03-28T17:26:53.660Z,-10.6465,152.6415,28.11,4.3,mb,,99,5.538,0.8,us,us20005dy7,2016-06-10T23:32:55.040Z,"176km S of Kulumadau, Papua New Guinea",earthquake,11.8,5.8,0.238,5,reviewed,us,us
2016-03-16T13:11:27.040Z,-11.9366,118.3702,10,4.9,mb,,69,5.024,0.8,us,us20005a5q,2016-05-21T00:05:33.040Z,"260km SSW of Kahale, Indonesia",earthquake,7.4,1.9,0.145,15,reviewed,us,us
2016-02-16T21:29:38.800Z,-10.4684,111.3514,10,4.6,mb,,102,2.668,0.64,us,us200050n4,2016-04-26T23:28:24.040Z,"241km S of Ngulung Wetan, Indonesia",earthquake,7.8,1.9,0.107,26,reviewed,us,us
2016-02-07T03:21:55.120Z,-11.655,116.7716,29.04,4.3,mb,,63,4.082,1.22,us,us20004zbj,2016-04-19T01:33:22.040Z,"South of Lombok, Indonesia",earthquake,9.1,5.5,0.178,9,reviewed,us,us
